episode,reward,steps,success,loss,epsilon,fire_count,reason
103,97.90,26,1,1.332079,0.8137,1,reached_exit
104,-115.90,22,0,1.341533,0.8120,2,hit_fire
105,-402.40,110,0,1.237739,0.8104,9,hit_fire
106,142.30,9,1,1.605884,0.8088,1,reached_exit
107,-123.30,43,0,1.356130,0.8072,3,hit_fire
108,-86.50,12,0,1.095995,0.8056,1,hit_fire
109,-238.30,69,0,1.350772,0.8039,7,hit_fire
110,-669.10,200,0,1.194064,0.8023,9,max_steps_exceeded
111,-738.50,200,0,1.290421,0.8007,12,max_steps_exceeded
112,-141.30,44,0,1.090321,0.7991,4,hit_fire
113,-675.60,200,0,1.217788,0.7975,8,max_steps_exceeded
114,-1099.30,330,0,1.227074,0.7959,43,hit_fire
115,-1607.50,485,1,1.228473,0.7944,42,reached_exit
116,-48.90,75,1,1.173649,0.7928,9,reached_exit
117,-944.10,256,0,1.247825,0.7912,30,hit_fire
118,-1118.00,433,1,1.221517,0.7896,66,reached_exit
119,-1825.90,500,0,1.178494,0.7880,71,max_steps_exceeded
120,-1415.90,497,0,1.261079,0.7864,115,hit_fire
121,-573.60,161,0,1.255260,0.7849,18,hit_fire
122,-522.70,153,0,1.332093,0.7833,27,hit_fire
123,-634.70,200,0,1.234495,0.7817,12,max_steps_exceeded
124,126.60,18,1,1.206081,0.7802,2,reached_exit
125,-69.90,13,0,1.083428,0.7786,2,hit_fire
126,-1703.50,500,0,1.226139,0.7770,78,max_steps_exceeded
127,-1067.50,300,0,1.253723,0.7755,24,max_steps_exceeded
128,-791.20,221,0,1.231551,0.7739,18,hit_fire
129,-830.90,300,0,1.293331,0.7724,25,max_steps_exceeded
130,-67.20,80,1,1.163400,0.7709,6,reached_exit
131,-327.30,87,0,1.228258,0.7693,9,hit_fire
132,-128.50,111,1,1.279520,0.7678,7,reached_exit
133,-1358.80,455,0,1.251407,0.7662,82,hit_fire
134,-1412.00,500,0,1.220221,0.7647,72,max_steps_exceeded
135,118.40,12,1,1.107195,0.7632,2,reached_exit
136,127.70,16,1,1.268884,0.7616,1,reached_exit
137,-964.60,300,0,1.278272,0.7601,38,max_steps_exceeded
138,-532.30,172,0,1.283029,0.7586,12,hit_fire
139,-1466.40,500,0,1.266677,0.7571,121,max_steps_exceeded
140,-13.60,73,1,1.317074,0.7556,3,reached_exit
141,-657.60,200,0,1.339981,0.7541,8,max_steps_exceeded
142,114.40,21,1,1.521749,0.7526,1,reached_exit
143,-892.80,219,0,1.326343,0.7510,20,hit_fire
144,-1033.10,306,0,1.332606,0.7495,35,hit_fire
145,-948.30,300,0,1.264437,0.7480,20,max_steps_exceeded
146,144.90,3,1,0.971948,0.7466,1,reached_exit
147,-681.20,200,0,1.327919,0.7451,7,max_steps_exceeded
148,-652.30,200,0,1.296227,0.7436,13,max_steps_exceeded
149,145.00,2,1,0.870945,0.7421,1,reached_exit
150,39.80,50,1,1.186809,0.7406,3,reached_exit
151,-740.00,200,0,1.395781,0.7391,15,max_steps_exceeded
152,-111.60,19,0,1.105060,0.7376,2,hit_fire
153,-1021.10,300,0,1.304236,0.7362,36,max_steps_exceeded
154,-862.00,227,0,1.324407,0.7347,35,hit_fire
155,-577.10,289,1,1.303786,0.7332,57,reached_exit
156,-598.60,189,0,1.331881,0.7318,21,hit_fire
157,-734.60,326,1,1.305193,0.7303,40,reached_exit
158,-1593.90,500,0,1.327787,0.7288,35,max_steps_exceeded
159,-103.80,26,0,1.260152,0.7274,1,hit_fire
160,-113.10,32,0,1.260583,0.7259,2,hit_fire
161,-16.30,68,1,1.389178,0.7245,4,reached_exit
162,-85.70,14,0,1.211312,0.7230,4,hit_fire
163,48.10,42,1,1.251004,0.7216,2,reached_exit
164,-60.70,10,0,1.745656,0.7201,1,hit_fire
165,-286.40,165,1,1.367495,0.7187,16,reached_exit
166,-955.50,300,0,1.344710,0.7172,34,max_steps_exceeded
167,-246.10,187,1,1.405355,0.7158,37,reached_exit
168,-673.90,190,0,1.413568,0.7144,9,hit_fire
169,-1581.80,500,0,1.371722,0.7130,37,max_steps_exceeded
170,-763.60,200,0,1.287213,0.7115,8,max_steps_exceeded
171,-1505.40,500,0,1.427573,0.7101,160,max_steps_exceeded
172,86.80,33,1,1.576760,0.7087,4,reached_exit
173,-235.00,154,1,1.409053,0.7073,16,reached_exit
174,-598.90,181,0,1.421621,0.7059,25,hit_fire
175,-652.10,200,0,1.378489,0.7044,7,max_steps_exceeded
176,82.50,34,1,1.313623,0.7030,5,reached_exit
177,71.60,35,1,1.473212,0.7016,3,reached_exit
178,-674.10,200,0,1.376719,0.7002,8,max_steps_exceeded
179,-282.90,90,0,1.377599,0.6988,6,hit_fire
180,-1369.70,500,0,1.394828,0.6974,96,max_steps_exceeded
181,108.60,21,1,1.588137,0.6960,1,reached_exit
182,-233.50,130,1,1.385053,0.6946,18,reached_exit
183,-53.20,4,0,1.715621,0.6932,2,hit_fire
184,-1658.20,500,0,1.519003,0.6919,54,max_steps_exceeded
185,-621.60,187,0,1.515001,0.6905,9,hit_fire
186,-1543.70,500,0,1.416428,0.6891,124,max_steps_exceeded
187,-1534.10,500,0,1.496480,0.6877,95,max_steps_exceeded
188,-300.20,91,0,1.627764,0.6863,11,hit_fire
189,-449.30,192,1,1.508561,0.6850,15,reached_exit
190,-117.40,100,1,1.409384,0.6836,10,reached_exit
191,149.60,5,1,2.303058,0.6822,1,reached_exit
192,-51.70,8,0,1.284696,0.6809,1,hit_fire
193,-1317.30,500,0,1.504072,0.6795,78,max_steps_exceeded
194,-1404.50,398,0,1.470488,0.6781,53,hit_fire
