environment,episodes,successful_episodes,failed_episodes,success_rate,avg_steps,avg_steps_success,avg_reward,total_hazard_events,avg_hazard_events,path_efficiency,seed_start,seed_end
office,100,100,0,1.0,6.83,6.83,153.621,10,0.1,0.8342850482850485,2000,2099
apartment,100,89,11,0.89,27.41,12.0,65.25199999999997,7,0.07,0.9142438072303155,2000,2099
school,100,72,28,0.72,81.43,16.791666666666668,-160.25100000000032,22,0.22,0.7718285381396623,2000,2099
hospital,100,77,23,0.77,129.62,38.83116883116883,-345.9929999999978,23,0.23,0.8072218189283632,2000,2099
mall,100,35,65,0.35,332.2,136.85714285714286,-1019.528,293,2.93,0.5446351994267451,2000,2099
